"Pedon_Key","hzn_top","hzn_bot","hzn_desgn","sand","silt","clay","db_od","estimated_oc","hzn","FID_L0West"
11383,0,3.5,"A1",54.9000015,38,7.0999999,1.39,0.39,"A",14497
11383,3,13.5,"A2",56.5,36,7.5,1.46,0.23,"A",14497
11383,13,25.5,"2Bk",62,31.5,6.5,1.61,0.15,"2B",14497
11383,25,53.5,"3Bk",75.5999985,20.5,3.9000001,1.5,0.1,"3B",14497
11383,53,76.5,"4Bk1",73.9000015,20.7000008,5.4000001,1.5700001,0.11,"4B",14497
11383,76,89.5,"4Bk2",60.7000008,30.1000004,9.1999998,1.5599999,0.11,"4B",14497
11383,89,132.5,"5Bk",73.4000015,21.2999992,5.3000002,1.45,0.06,"5B",14497
11383,132,165.5,"6Bk",59.2000008,34.2999992,6.5,1.38,0.09,"6B",14497
13575,0,6.5,"A1",42.4000015,48.7999992,8.8000002,1.45,0.75,"A",14497
13575,6,10.5,"A2",39.9000015,43,17.1000004,1.38,0.47,"A",14497
13575,10,23.5,"Bt",35.9000015,30.6000004,33.5,1.4400001,0.59,"B",14497
13576,0,7.5,"A",45.5999985,40.4000015,14,1.62,0.43,"A",14497
13576,7,18.5,"Bt1",31.2999992,37.5,31.2000008,1.45,0.3,"B",14497
13576,18,33.5,"Bt2",32.9000015,29.5,37.5999985,1.4400001,0.34,"B",14497
13576,33,41.5,"Bt3",36,25.5,38.5,1.46,0.4,"B",14497
13577,0,5.5,"A1",74.4000015,20.2999992,5.3000002,1.33,0,"A",14497
13577,5,10.5,"A2",44.7999992,45.0999985,10.1000004,1.47,0,"A",14497
13577,10,23.5,"A3",37.7000008,40.2999992,22,1.62,0,"A",14497
13577,23,30.5,"Bt1",37.7000008,33.7999992,28.5,1.4,0,"B",14497
13577,30,41.5,"Bt2",36.4000015,28.7999992,34.7999992,1.34,0,"B",14497
13582,0,5.5,"A1",41.9000015,41.7000008,16.3999996,1.11,0,"A",14497
13582,5,15.5,"A2",35.9000015,44,20.1000004,1.4,0,"A",14497
13582,15,28.5,"Bt1",34.5,39.9000015,25.6000004,1.33,0,"B",14497
13582,28,48.5,"Bt2",31.1000004,32,36.9000015,1.42,0,"B",14497
13582,48,74.5,"Bt3",36.4000015,26.6000004,37,1.36,0,"B",14497
15179,0,5.5,"A1",69.6999969,26,4.3000002,1.78,0.47,"A",14497
15179,5,17.5,"A2",59.4000015,31.7000008,8.8999996,1.78,0.18,"A",14497
15179,17,32.5,"Bt1",53.7000008,28.7000008,17.6000004,1.76,0.21,"B",14497
15179,32,41.5,"Bt2",57.2000008,26.2000008,16.6000004,1.79,0.27,"B",14497
15179,41,90.5,"Bkq1",69.5999985,18.2999992,12.1000004,1.91,0.06,"B",14497
15179,90,115.5,"Bkq2",75.6999969,14.1999998,10.1000004,1.87,0.05,"B",14497
15179,115,160.5,"C",85.8000031,10.1999998,4,1.464930001,0.05,"C",14497
15180,0,4.5,"A1",63.5,36,0.5,1.63,0.72,"A",14497
15180,4,15.5,"A2",58.2999992,40.0999985,1.6,1.67,0.25,"A",14497
15180,15,30.5,"Bw",67.1999969,30.3999996,2.4000001,1.66,0.12,"B",14497
15180,30,36.5,"Bkq",68,29.3999996,2.5999999,1.66,0.17,"B",14497
15180,36,66.5,"Bk",66.9000015,30.7000008,2.4000001,1.66,0.17,"B",14497
15180,66,99.5,"2Bkq",77.3000031,20.6000004,2.0999999,1.5599999,0.08,"2B",14497
15180,99,157.5,"3Bkq",55.7999992,42.4000015,1.8,1.73,0.09,"3B",14497
15180,157,175.5,"4C",77.0999985,22.2000008,0.7,1.427429998,0.05,"4C",14497
3014,0,5.5,"A1",56.7000008,33.4000015,9.8999996,1.3099999,0.45,"A",14497
3014,5,10.5,"A2",54.2999992,33.0999985,12.6000004,1.3099999,0.3,"A",14497
3014,10,33.5,"B",60.4000015,31.8999996,7.6999998,1.34,0.34,"B",14497
3014,33,61.5,"Bq",50.2999992,27,22.7000008,1.37,0.26,"B",14497
3014,61,79.5,"Bkq",56.5999985,24,19.3999996,1.4,0.37,"B",14497
3014,79,97.5,"2Bkq",74.3000031,19,6.6999998,1.98,0.43,"2B",14497
3014,94,130.5,"2Bkqm",76.5,17.2000008,6.3000002,1.98,0.28,"2B",14497
3014,130,152.5,"3Bkqm",81.1999969,13.8000002,5,1.455669999,0.36,"3B",14497
3014,152,178.5,"3C1",78.5999985,18.7000008,2.7,1.37,0.1,"3C",14497
3014,178,198.5,"3C2",78.5999985,18.7000008,2.7,1.37,0.09,"3C",14497
30755,0,2.5,"A1",49.0999985,38.2000008,12.6999998,1.48,0,"A",14497
30755,2,8.5,"A2",46.5999985,37.5999985,15.8000002,1.48,0,"A",14497
30755,8,20.5,"Bt",47.4000015,35.5,17.1000004,1.41,0,"B",14497
30755,20,46.5,"Btk",56.7999992,27.3999996,15.8000002,1.52,0,"B",14497
30756,0,8.5,"A",46.5,34.2999992,19.2000008,1.47,0,"A",14497
30756,8,18.5,"Bt1",38.4000015,36,25.6000004,1.46,0,"B",14497
30756,18,28.5,"Bt2",31.5,30.6000004,37.9000015,1.46,0,"B",14497
30756,28,38.5,"Btq",28.1000004,26.7000008,45.2000008,1.46,0,"B",14497
32790,0,10.5,"A",70.1999969,21.2000008,8.6000004,1.438179998,0.3,"A",14497
32790,10,20.5,"Bt1",60.5999985,22.3999996,17,1.55,0.5,"B",14497
32790,20,38.5,"Bt2",59.2999992,23,17.7000008,1.45,0.42,"B",14497
